match_id,season_id,match_date,home_team_id,away_team_id,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result
213,1,2016-01-16,8,10,3,3,D,0,0,D
214,1,2016-01-16,17,9,4,0,H,2,0,H
215,1,2016-01-16,20,30,2,1,H,2,0,H
216,1,2016-01-16,23,29,3,0,H,2,0,H
217,1,2016-01-16,27,25,4,1,H,1,1,D
218,1,2016-01-17,16,18,0,1,A,0,0,D
219,1,2016-01-17,24,1,0,0,D,0,0,D
220,1,2016-01-18,26,28,1,0,H,1,0,H
221,1,2016-01-23,9,27,1,3,A,1,0,H
222,1,2016-01-23,15,24,3,0,H,1,0,H
223,1,2016-01-23,18,23,0,1,A,0,0,D
224,1,2016-01-23,21,16,4,5,A,2,1,H
225,1,2016-01-23,25,3,1,1,D,1,1,D
226,1,2016-01-23,28,20,2,1,H,0,0,D
227,1,2016-01-23,29,2,0,0,D,0,0,D
228,1,2016-01-23,30,17,2,2,D,1,1,D
229,1,2016-01-24,1,8,0,1,A,0,1,A
230,1,2016-01-24,10,26,1,2,A,1,2,A
231,1,2016-02-02,1,23,0,0,D,0,0,D
232,1,2016-02-02,9,3,1,2,A,1,1,D
233,1,2016-02-02,15,16,2,0,H,0,0,D
234,1,2016-02-02,18,24,3,0,H,2,0,H
235,1,2016-02-02,21,27,0,3,A,0,2,A
236,1,2016-02-02,25,17,0,1,A,0,1,A
237,1,2016-02-02,29,26,1,1,D,0,0,D
238,1,2016-02-02,30,2,2,0,H,0,0,D
239,1,2016-02-03,10,20,3,0,H,1,0,H
240,1,2016-02-03,28,8,0,0,D,0,0,D
241,1,2016-02-06,2,21,2,0,H,1,0,H
242,1,2016-02-06,16,25,2,2,D,0,0,D
243,1,2016-02-06,17,15,1,3,A,0,1,A
244,1,2016-02-06,20,29,1,0,H,1,0,H
245,1,2016-02-06,23,30,1,0,H,1,0,H
246,1,2016-02-06,24,10,0,3,A,0,3,A
247,1,2016-02-06,26,9,1,1,D,1,0,H
248,1,2016-02-06,27,28,1,0,H,0,0,D
249,1,2016-02-07,3,1,0,2,A,0,2,A
250,1,2016-02-07,8,18,1,1,D,0,0,D
251,1,2016-02-13,3,24,1,3,A,0,1,A
252,1,2016-02-13,8,20,5,1,H,3,0,H
253,1,2016-02-13,9,28,1,2,A,1,1,D
254,1,2016-02-13,10,29,0,1,A,0,1,A
255,1,2016-02-13,21,30,2,2,D,0,0,D
256,1,2016-02-13,25,18,2,1,H,1,1,D
257,1,2016-02-13,26,23,0,1,A,0,0,D
258,1,2016-02-14,1,15,2,1,H,0,1,A
259,1,2016-02-14,2,16,0,6,A,0,2,A
260,1,2016-02-14,17,27,1,2,A,0,0,D
261,1,2016-02-27,15,21,1,0,H,0,0,D
262,1,2016-02-27,23,8,1,2,A,1,0,H
263,1,2016-02-27,24,2,2,1,H,0,0,D
264,1,2016-02-27,28,3,0,0,D,0,0,D
265,1,2016-02-27,29,9,3,2,H,3,0,H
266,1,2016-02-27,30,25,1,0,H,1,0,H
267,1,2016-02-28,27,26,2,1,H,0,1,A
268,1,2016-02-28,18,1,3,2,H,2,1,H
269,1,2016-03-01,2,10,1,3,A,0,2,A
270,1,2016-03-01,3,23,2,0,H,1,0,H
271,1,2016-03-01,15,29,2,2,D,2,1,H
272,1,2016-03-01,21,8,1,2,A,0,2,A
273,1,2016-03-01,25,9,2,2,D,1,0,H
274,1,2016-03-02,1,26,1,2,A,1,1,D
275,1,2016-03-02,16,17,3,0,H,2,0,H
276,1,2016-03-02,18,28,1,0,H,0,0,D
277,1,2016-03-02,24,20,1,0,H,0,0,D
278,1,2016-03-02,30,27,1,0,H,1,0,H
279,1,2016-03-05,8,24,1,1,D,1,0,H
280,1,2016-03-05,10,30,2,3,A,1,0,H
281,1,2016-03-05,17,2,4,0,H,0,0,D
282,1,2016-03-05,20,3,1,3,A,0,1,A
283,1,2016-03-05,23,25,1,1,D,0,0,D
