app_match_id,statsbomb_match_id,match_date,home_team,away_team,season,method
43,3754336,2015-09-12,everton,chelsea,2015/2016,exact_key
125,3754247,2015-11-21,southampton,stoke,2015/2016,exact_key
112,3754156,2015-11-07,leicester,watford,2015/2016,exact_key
118,3754265,2015-11-08,arsenal,tottenham,2015/2016,exact_key
116,3754000,2015-11-07,sunderland,southampton,2015/2016,exact_key
44,3754003,2015-09-12,man united,liverpool,2015/2016,exact_key
14,3754344,2015-08-15,swansea,newcastle,2015/2016,exact_key
26,3754131,2015-08-22,west ham,bournemouth,2015/2016,exact_key
3,3754300,2015-08-08,everton,watford,2015/2016,exact_key
18,3754312,2015-08-16,crystal palace,arsenal,2015/2016,exact_key
6,3754138,2015-08-08,norwich,crystal palace,2015/2016,exact_key
17,3754203,2015-08-15,west ham,leicester,2015/2016,exact_key
21,3754190,2015-08-22,crystal palace,aston villa,2015/2016,exact_key
19,3754066,2015-08-16,man city,chelsea,2015/2016,exact_key
12,3754034,2015-08-15,southampton,everton,2015/2016,exact_key
9,3753985,2015-08-09,stoke,liverpool,2015/2016,exact_key
22,3753987,2015-08-22,leicester,tottenham,2015/2016,exact_key
28,3754189,2015-08-23,watford,southampton,2015/2016,exact_key
25,3754180,2015-08-22,sunderland,swansea,2015/2016,exact_key
29,3754059,2015-08-23,west brom,chelsea,2015/2016,exact_key
302,3754064,2016-03-20,southampton,liverpool,2015/2016,exact_key
210,3754065,2016-01-13,tottenham,leicester,2015/2016,exact_key
181,3754173,2015-12-28,arsenal,bournemouth,2015/2016,exact_key
310,3754175,2016-04-02,sunderland,west brom,2015/2016,exact_key
294,3753973,2016-03-19,chelsea,west ham,2015/2016,exact_key
225,3753975,2016-01-23,sunderland,bournemouth,2015/2016,exact_key
274,3753976,2016-03-02,arsenal,swansea,2015/2016,exact_key
298,3753977,2016-03-19,watford,stoke,2015/2016,exact_key
296,3753980,2016-03-19,everton,arsenal,2015/2016,exact_key
201,3753981,2016-01-12,aston villa,crystal palace,2015/2016,exact_key
312,3753982,2016-04-03,leicester,southampton,2015/2016,exact_key
321,3753986,2016-04-10,liverpool,stoke,2015/2016,exact_key
289,3753988,2016-03-12,bournemouth,swansea,2015/2016,exact_key
370,3753989,2016-05-11,sunderland,everton,2015/2016,exact_key
345,3753990,2016-04-24,sunderland,arsenal,2015/2016,exact_key
275,3753991,2016-03-02,liverpool,man city,2015/2016,exact_key
366,3753992,2016-05-08,tottenham,southampton,2015/2016,exact_key
375,3753994,2016-05-15,southampton,crystal palace,2015/2016,exact_key
238,3753997,2016-02-02,west ham,aston villa,2015/2016,exact_key
188,3753998,2015-12-28,west ham,southampton,2015/2016,exact_key
293,3754002,2016-03-14,leicester,newcastle,2015/2016,exact_key
212,3754004,2016-01-16,bournemouth,norwich,2015/2016,exact_key
277,3754005,2016-03-02,stoke,newcastle,2015/2016,exact_key
331,3754009,2016-04-17,arsenal,crystal palace,2015/2016,exact_key
262,3754012,2016-02-27,southampton,chelsea,2015/2016,exact_key
317,3754016,2016-04-09,southampton,newcastle,2015/2016,exact_key
355,3754018,2016-05-01,swansea,liverpool,2015/2016,exact_key
184,3754019,2015-12-28,man united,chelsea,2015/2016,exact_key
202,3754021,2016-01-12,bournemouth,west ham,2015/2016,exact_key
315,3754022,2016-04-09,crystal palace,norwich,2015/2016,exact_key
328,3754024,2016-04-16,newcastle,swansea,2015/2016,exact_key
359,3754026,2016-05-07,crystal palace,stoke,2015/2016,exact_key
217,3754027,2016-01-16,tottenham,sunderland,2015/2016,exact_key
319,3754030,2016-04-09,watford,everton,2015/2016,exact_key
256,3754031,2016-02-13,sunderland,man united,2015/2016,exact_key
208,3754032,2016-01-13,stoke,norwich,2015/2016,exact_key
360,3754033,2016-05-07,leicester,everton,2015/2016,exact_key
316,3754035,2016-04-09,man city,west brom,2015/2016,exact_key
195,3754036,2016-01-02,sunderland,aston villa,2015/2016,exact_key
279,3754061,2016-03-05,chelsea,stoke,2015/2016,exact_key
204,3754062,2016-01-13,chelsea,west brom,2015/2016,exact_key
351,3754063,2016-04-30,watford,aston villa,2015/2016,exact_key
191,3754069,2016-01-02,arsenal,newcastle,2015/2016,exact_key
357,3754070,2016-05-07,aston villa,newcastle,2015/2016,exact_key
209,3754071,2016-01-13,swansea,sunderland,2015/2016,exact_key
305,3754075,2016-04-02,aston villa,chelsea,2015/2016,exact_key
248,3754080,2016-02-06,tottenham,watford,2015/2016,exact_key
288,3754081,2016-03-06,west brom,man united,2015/2016,exact_key
227,3754084,2016-01-23,west brom,aston villa,2015/2016,exact_key
338,3754086,2016-04-20,west ham,watford,2015/2016,exact_key
307,3754087,2016-04-02,liverpool,tottenham,2015/2016,exact_key
203,3754088,2016-01-12,newcastle,man united,2015/2016,exact_key
232,3754089,2016-02-02,crystal palace,bournemouth,2015/2016,exact_key
356,3754092,2016-05-02,chelsea,tottenham,2015/2016,exact_key
234,3754094,2016-02-02,man united,stoke,2015/2016,exact_key
236,3754095,2016-02-02,sunderland,man city,2015/2016,exact_key
301,3754100,2016-03-20,newcastle,sunderland,2015/2016,exact_key
194,3754101,2016-01-02,norwich,southampton,2015/2016,exact_key
240,3754103,2016-02-03,watford,chelsea,2015/2016,exact_key
362,3754108,2016-05-07,sunderland,chelsea,2015/2016,exact_key
228,3754110,2016-01-23,west ham,man city,2015/2016,exact_key
229,3754111,2016-01-24,arsenal,chelsea,2015/2016,exact_key
199,3754114,2016-01-03,crystal palace,chelsea,2015/2016,exact_key
318,3754116,2016-04-09,swansea,chelsea,2015/2016,exact_key
304,3754118,2016-04-02,arsenal,watford,2015/2016,exact_key
245,3754120,2016-02-06,southampton,west ham,2015/2016,exact_key
264,3754121,2016-02-27,watford,bournemouth,2015/2016,exact_key
197,3754122,2016-01-02,west brom,stoke,2015/2016,exact_key
373,3754123,2016-05-15,everton,norwich,2015/2016,exact_key
300,3754124,2016-03-20,man city,man united,2015/2016,exact_key
213,3754125,2016-01-16,chelsea,everton,2015/2016,exact_key
246,3754127,2016-02-06,stoke,everton,2015/2016,exact_key
350,3754132,2016-04-30,stoke,sunderland,2015/2016,exact_key
367,3754134,2016-05-10,west ham,man united,2015/2016,exact_key
326,3754137,2016-04-16,everton,southampton,2015/2016,exact_key
257,3754139,2016-02-13,swansea,southampton,2015/2016,exact_key
200,3754140,2016-01-03,everton,tottenham,2015/2016,exact_key
206,3754142,2016-01-13,man city,everton,2015/2016,exact_key
306,3754144,2016-04-02,bournemouth,man city,2015/2016,exact_key
260,3754147,2016-02-14,man city,tottenham,2015/2016,exact_key
377,3754149,2016-05-15,swansea,man city,2015/2016,exact_key
284,3754151,2016-03-05,swansea,norwich,2015/2016,exact_key
322,3754152,2016-04-10,sunderland,leicester,2015/2016,exact_key
342,3754154,2016-04-23,liverpool,newcastle,2015/2016,exact_key
330,3754155,2016-04-16,west brom,watford,2015/2016,exact_key
363,3754158,2016-05-07,west ham,swansea,2015/2016,exact_key
380,3754159,2016-05-17,man united,bournemouth,2015/2016,exact_key
220,3754161,2016-01-18,swansea,watford,2015/2016,exact_key
230,3754163,2016-01-24,everton,swansea,2015/2016,exact_key
283,3754164,2016-03-05,southampton,sunderland,2015/2016,exact_key
353,3754165,2016-05-01,man united,leicester,2015/2016,exact_key
216,3754168,2016-01-16,southampton,west brom,2015/2016,exact_key
349,3754170,2016-04-30,newcastle,crystal palace,2015/2016,exact_key
329,3754172,2016-04-16,norwich,sunderland,2015/2016,exact_key
311,3754176,2016-04-02,west ham,crystal palace,2015/2016,exact_key
282,3754177,2016-03-05,newcastle,bournemouth,2015/2016,exact_key
221,3754179,2016-01-23,crystal palace,tottenham,2015/2016,exact_key
295,3754181,2016-03-19,crystal palace,leicester,2015/2016,exact_key
207,3754183,2016-01-13,southampton,watford,2015/2016,exact_key
347,3754184,2016-04-30,arsenal,norwich,2015/2016,exact_key
334,3754187,2016-04-18,stoke,tottenham,2015/2016,exact_key
109,3754191,2015-11-01,southampton,bournemouth,2015/2016,exact_key
352,3754192,2016-04-30,west brom,west ham,2015/2016,exact_key
187,3754195,2015-12-28,west brom,newcastle,2015/2016,exact_key
291,3754196,2016-03-12,stoke,southampton,2015/2016,exact_key
376,3754199,2016-05-15,stoke,west ham,2015/2016,exact_key
223,3754200,2016-01-23,man united,southampton,2015/2016,exact_key
231,3754201,2016-02-02,arsenal,southampton,2015/2016,exact_key
219,3754202,2016-01-17,stoke,arsenal,2015/2016,exact_key
335,3754206,2016-04-19,newcastle,man city,2015/2016,exact_key
